template,position,plate_row,plate_col,plate_x,plate_y,rough_l,rough_r,rough_t,rough_b,rotate,fine_l,fine_r,fine_t,fine_b,invert
2021.10.11 scr MATa 1_8.tif,4,2,4,2505,1755,1780,3230,1270,2240,-0.010000000000000009,69,1345,40,908,TRUE
2021.10.11 scr MATa 1_8.tif,5,1,6,895,2850,170,1620,2380,3320,0,103,1380,37,906,TRUE
2021.10.11 scr MATa 1_8.tif,6,2,6,2505,2850,1780,3230,2380,3320,-0.040000000000000036,68,1344,46,914,TRUE
2021.10.11 scr MATa 1_8.tif,7,1,9,895,3980,170,1620,3510,4450,0,104,1378,37,905,TRUE
2021.10.11 scr MATa 1_8.tif,8,2,9,2505,3980,1780,3230,3510,4450,-0.07999999999999996,69,1344,45,914,TRUE
2021.10.11 415 MATa 9_16.tif,1,1,2,905,605,180,1630,140,1070,0,94,1372,34,900,TRUE
2021.10.11 415 MATa 9_16.tif,2,2,2,2500,605,1770,3230,140,1070,-0.20999999999999996,86,1365,40,908,TRUE
2021.10.11 415 MATa 9_16.tif,3,1,5,905,1740,180,1630,1270,2210,0,94,1372,31,900,TRUE
2021.10.11 415 MATa 9_16.tif,4,2,5,2500,1740,1770,3230,1270,2210,-0.040000000000000036,82,1358,37,906,TRUE
2021.10.11 415 MATa 9_16.tif,5,1,8,905,2850,180,1630,2380,3320,0,92,1372,37,905,TRUE
2021.10.11 415 MATa 9_16.tif,6,2,8,2500,2850,1770,3230,2380,3320,-0.07999999999999996,82,1362,44,913,TRUE
2021.10.11 415 MATa 9_16.tif,7,1,11,905,3995,180,1630,3510,4480,0,95,1372,34,904,TRUE
2021.10.11 415 MATa 9_16.tif,8,2,11,2500,3995,1770,3230,3510,4480,-0.07999999999999996,83,1361,40,909,TRUE
2021.10.11 415 MATa 1_8 .tif,1,1,2,895,625,170,1620,140,1110,0,96,1374,32,899,TRUE
2021.10.11 415 MATa 1_8 .tif,2,2,2,2490,625,1760,3220,140,1110,-0.25,87,1367,40,908,TRUE
2021.10.11 415 MATa 1_8 .tif,3,1,4,895,1740,170,1620,1270,2210,0,93,1373,29,898,TRUE
2021.10.11 415 MATa 1_8 .tif,4,2,4,2490,1740,1760,3220,1270,2210,-0.14,83,1360,38,906,TRUE
2021.10.11 415 MATa 1_8 .tif,5,1,7,895,2850,170,1620,2380,3320,0,96,1373,37,905,TRUE
2021.10.11 415 MATa 1_8 .tif,6,2,7,2490,2850,1760,3220,2380,3320,-0.09999999999999998,83,1361,42,912,TRUE
2021.10.11 415 MATa 1_8 .tif,7,1,10,895,3980,170,1620,3510,4450,0,96,1371,35,904,TRUE
2021.10.11 415 MATa 1_8 .tif,8,2,10,2490,3980,1760,3220,3510,4450,0,82,1358,41,911,TRUE
