template,position,plate_row,plate_col,plate_x,plate_y,rough_l,rough_r,rough_t,rough_b,rotate,fine_l,fine_r,fine_t,fine_b,invert
2021.11.08 g6 MATa 9_16.tif,1,1,3,905,650,180,1630,180,1120,0.020000000000000018,93,1373,37,904,TRUE
2021.11.08 g6 MATa 9_16.tif,2,2,3,2500,650,1770,3230,180,1120,0,89,1367,41,909,TRUE
2021.11.08 g6 MATa 9_16.tif,3,1,6,905,1795,180,1630,1310,2280,0,98,1376,36,902,TRUE
2021.11.08 g6 MATa 9_16.tif,4,2,6,2500,1795,1770,3230,1310,2280,0,89,1368,37,905,TRUE
2021.11.08 g6 MATa 9_16.tif,5,1,8,905,2905,180,1630,2420,3390,0,98,1376,40,905,TRUE
2021.11.08 g6 MATa 9_16.tif,6,2,8,2500,2905,1770,3230,2420,3390,-0.030000000000000027,84,1361,46,912,TRUE
2021.11.08 g6 MATa 9_16.tif,7,1,10,905,4035,180,1630,3550,4520,0,97,1373,38,904,TRUE
2021.11.08 g6 MATa 9_16.tif,8,2,10,2500,4035,1770,3230,3550,4520,0,82,1359,41,908,TRUE
2021.11.08 g6 MATa 1_8.tif,1,1,2,895,650,170,1620,180,1120,0,99,1378,35,901,TRUE
2021.11.08 g6 MATa 1_8.tif,2,2,2,2490,650,1760,3220,180,1120,-0.24,96,1375,42,909,TRUE
2021.11.08 g6 MATa 1_8.tif,3,1,5,895,1780,170,1620,1310,2250,0.09000000000000008,103,1380,36,901,TRUE
2021.11.08 g6 MATa 1_8.tif,4,2,5,2490,1780,1760,3220,1310,2250,0,89,1368,35,902,TRUE
2021.11.08 g6 MATa 1_8.tif,5,1,8,895,2890,170,1620,2420,3360,0.1100000000000001,102,1378,40,907,TRUE
2021.11.08 g6 MATa 1_8.tif,6,2,8,2490,2890,1760,3220,2420,3360,-0.010000000000000009,87,1364,43,910,TRUE
2021.11.08 g6 MATa 1_8.tif,7,1,11,895,4020,170,1620,3550,4490,0,99,1375,35,900,TRUE
2021.11.08 g6 MATa 1_8.tif,8,2,11,2490,4020,1760,3220,3550,4490,-0.08999999999999997,82,1359,41,908,TRUE
2021.11.08 g1 MATa 9_16.tif,1,1,2,895,650,170,1620,180,1120,0.010000000000000009,91,1369,37,904,TRUE
2021.11.08 g1 MATa 9_16.tif,2,2,2,2490,650,1770,3210,180,1120,-0.17999999999999994,77,1356,42,910,TRUE
2021.11.08 g1 MATa 9_16.tif,3,1,5,895,1795,170,1620,1310,2280,0,90,1370,33,901,TRUE
2021.11.08 g1 MATa 9_16.tif,4,2,5,2490,1795,1770,3210,1310,2280,-0.010000000000000009,69,1347,36,903,TRUE
2021.11.08 g1 MATa 9_16.tif,5,1,7,895,2890,170,1620,2420,3360,0,94,1371,39,905,TRUE
2021.11.08 g1 MATa 9_16.tif,6,2,7,2490,2890,1770,3210,2420,3360,-0.010000000000000009,71,1348,42,907,TRUE
2021.11.08 g1 MATa 9_16.tif,7,1,10,895,4035,170,1620,3550,4520,0,91,1369,36,901,TRUE
2021.11.08 g1 MATa 9_16.tif,8,2,10,2490,4035,1770,3210,3550,4520,0,67,1341,40,906,TRUE
2021.11.08 g1 MATa 1_8.tif,1,1,2,890,650,170,1610,180,1120,-0.010000000000000009,91,1371,38,906,TRUE
2021.11.08 g1 MATa 1_8.tif,2,2,2,2485,650,1760,3210,180,1120,-0.09999999999999998,80,1359,43,912,TRUE
2021.11.08 g1 MATa 1_8.tif,3,1,5,890,1780,170,1610,1310,2250,0,94,1371,39,905,TRUE
2021.11.08 g1 MATa 1_8.tif,4,2,5,2485,1780,1760,3210,1310,2250,0,81,1358,41,907,TRUE
2021.11.08 g1 MATa 1_8.tif,5,1,8,890,2895,170,1610,2430,3360,0,97,1373,32,898,TRUE
2021.11.08 g1 MATa 1_8.tif,6,2,8,2485,2895,1760,3210,2430,3360,-0.010000000000000009,83,1360,34,900,TRUE
2021.11.08 g1 MATa 1_8.tif,7,1,11,890,4025,170,1610,3560,4490,0.010000000000000009,95,1372,29,896,TRUE
2021.11.08 g1 MATa 1_8.tif,8,2,11,2485,4025,1760,3210,3560,4490,0,81,1358,31,898,TRUE
2021.11.08 scr MATa 9_16.tif,1,1,2,890,665,170,1610,180,1150,0,90,1369,35,902,TRUE
2021.11.08 scr MATa 9_16.tif,2,2,2,2485,665,1760,3210,180,1150,-0.10999999999999999,87,1365,40,908,TRUE
2021.11.08 scr MATa 9_16.tif,3,1,4,890,1780,170,1610,1310,2250,0,91,1370,34,901,TRUE
2021.11.08 scr MATa 9_16.tif,4,2,4,2485,1780,1760,3210,1310,2250,-0.13,84,1361,38,906,TRUE
2021.11.08 scr MATa 9_16.tif,5,1,7,890,2890,170,1610,2420,3360,0.020000000000000018,88,1368,39,905,TRUE
2021.11.08 scr MATa 9_16.tif,6,2,7,2485,2890,1760,3210,2420,3360,-0.06999999999999995,80,1357,43,908,TRUE
2021.11.08 scr MATa 9_16.tif,7,1,10,890,4020,170,1610,3550,4490,0,91,1367,37,901,TRUE
2021.11.08 scr MATa 9_16.tif,8,2,10,2485,4020,1760,3210,3550,4490,0,78,1353,41,907,TRUE
2021.11.08 scr MATa 1_8.tif,1,1,2,895,665,170,1620,180,1150,0.07000000000000006,96,1374,37,904,TRUE
2021.11.08 scr MATa 1_8.tif,2,2,2,2490,665,1760,3220,180,1150,-0.26,90,1367,43,911,TRUE
2021.11.08 scr MATa 1_8.tif,3,1,4,895,1795,170,1620,1310,2280,0,94,1372,35,902,TRUE
2021.11.08 scr MATa 1_8.tif,4,2,4,2490,1795,1760,3220,1310,2280,-0.06999999999999995,85,1361,37,905,TRUE
2021.11.08 scr MATa 1_8.tif,5,1,6,895,2890,170,1620,2420,3360,0.010000000000000009,94,1371,40,906,TRUE
2021.11.08 scr MATa 1_8.tif,6,2,6,2490,2890,1760,3220,2420,3360,-0.040000000000000036,82,1359,44,910,TRUE
2021.11.08 scr MATa 1_8.tif,7,1,9,895,4035,170,1620,3550,4520,0,95,1371,37,903,TRUE
2021.11.08 scr MATa 1_8.tif,8,2,9,2490,4035,1760,3220,3550,4520,0,81,1358,41,908,TRUE
2021.11.08 415 MATa 9_16.tif,1,1,2,890,650,170,1610,180,1120,0,94,1375,33,902,TRUE
2021.11.08 415 MATa 9_16.tif,2,2,2,2485,650,1760,3210,180,1120,-0.20999999999999996,87,1366,42,910,TRUE
2021.11.08 415 MATa 9_16.tif,3,1,5,890,1780,170,1610,1310,2250,0,94,1374,33,901,TRUE
2021.11.08 415 MATa 9_16.tif,4,2,5,2485,1780,1760,3210,1310,2250,0,80,1359,38,906,TRUE
2021.11.08 415 MATa 9_16.tif,5,1,8,890,2890,170,1610,2420,3360,0,95,1373,39,906,TRUE
2021.11.08 415 MATa 9_16.tif,6,2,8,2485,2890,1760,3210,2420,3360,-0.14,84,1361,44,910,TRUE
2021.11.08 415 MATa 9_16.tif,7,1,11,890,4020,170,1610,3550,4490,0,93,1370,36,903,TRUE
2021.11.08 415 MATa 9_16.tif,8,2,11,2485,4020,1760,3210,3550,4490,-0.08999999999999997,81,1358,41,908,TRUE
2021.11.08 415 MATa 1_8.tif,1,1,3,895,670,170,1620,180,1160,0,98,1377,38,906,TRUE
2021.11.08 415 MATa 1_8.tif,2,2,3,2490,670,1760,3220,180,1160,-0.27,88,1368,46,915,TRUE
2021.11.08 415 MATa 1_8.tif,3,1,5,895,1795,170,1620,1310,2280,0,97,1374,37,904,TRUE
2021.11.08 415 MATa 1_8.tif,4,2,5,2490,1795,1760,3220,1310,2280,-0.07999999999999996,87,1366,43,911,TRUE
2021.11.08 415 MATa 1_8.tif,5,1,6,895,2880,170,1620,2390,3370,0.09000000000000008,96,1371,73,939,TRUE
2021.11.08 415 MATa 1_8.tif,6,2,6,2490,2880,1760,3220,2390,3370,-0.06999999999999995,82,1361,79,947,TRUE
2021.11.08 415 MATa 1_8.tif,7,1,8,895,4025,170,1620,3520,4530,-0.29000000000000004,94,1371,71,938,TRUE
2021.11.08 415 MATa 1_8.tif,8,2,8,2490,4025,1760,3220,3520,4530,0,78,1355,77,944,TRUE
