temperature,strain_name,strain_id,plate,row,column,query_id,t,p,mean_dif,sd_dif,mean_lgr,sd_lgr
30,Oct1,rec4984,5,10,21,g1,-4.986550099182301,2.3546499623583456e-4,-0.1582455264716504,0.0897623795228029,-0.3270037566748509,0.19339748731743306
30,Oct1,rec4984,5,10,21,g6,-5.090899511901791,2.6918993231758205e-4,-0.1184943837000826,0.05987065121416245,-0.23276960884802086,0.11365340694181919
30,aac1,rec6190,15,4,13,g1,-2.3168515857127403,0.04890826604932711,-0.14272378616454917,0.1562585406487808,-0.20299761106330597,0.22331734975633866
30,aac1,rec6190,15,4,13,g6,-0.26706805439504055,0.7955509664712915,-0.012810338978109924,0.14524899971438907,-0.0230914390837048,0.18971859298797422
30,aac1,rec6190,16,4,14,g1,-1.740666369438971,0.10817324544875177,-0.075042853784371,0.08733276567305365,-0.10507305957596758,0.11946644482800084
30,aac1,rec6190,16,4,14,g6,0.15575117720268866,0.8787387413891397,0.006201014890368284,0.09291233252069084,0.00576186930241605,0.12122433402154811
30,aac3,rec3223,14,14,2,g1,-0.06630758972008595,0.9481617783656864,-0.005511596285510931,0.05412719710013098,0.829712506662626,1.1634452583813073
30,aac3,rec3223,14,14,2,g6,-0.8780398517976462,0.4090332095088286,-0.059159418624208024,0.1903889105622172,0.18221327959130007,2.0627415407437675
30,aad3,rec7253,15,12,3,g1,-1.8230688608741954,0.09317535959160875,-0.07382937491889559,0.09026751649961816,-0.15004200671477497,0.179475973396028
30,aad3,rec7253,15,12,3,g6,-5.675845452988812,5.809474750547432e-5,-0.17248706956973744,0.06828135829115753,-0.3596071594115089,0.14649058063361822
30,aad3,rec7253,16,12,4,g1,0.29458388965023735,0.7730080058951856,0.012579561774869059,0.1120783572538122,0.018759719931450848,0.222463612243485
30,aad3,rec7253,16,12,4,g6,-2.0229745268625465,0.0691495204365969,-0.11074551603190003,0.19642582883707782,-0.2517343031202891,0.42424583146508654
30,aad4,rec3940,10,13,10,g1,0.2960421924661743,0.7726949554736309,0.005126082005739982,0.05723984493518336,0.008463006173961651,0.08588707925879366
30,aad4,rec3940,10,13,10,g6,0.1307800162784115,0.8985518421262502,0.004627188450827158,0.061135540219615286,0.0026390876595593638,0.090985123380934535
30,aad6,rec5677,8,11,10,g1,-0.3623669942531319,0.7225841450965038,-0.012515768475782577,0.048959007148024106,-0.01850276410479256,0.07070543619248765
30,aad6,rec5677,8,11,10,g6,-1.2411561211508544,0.23726775613234574,-0.03446317677250427,0.05010269913857406,-0.04789781861431861,0.07093267540863496
30,aah1,rec2935,12,12,2,g1,3.1123550657607275,0.010371773707921,0.1558966424103636,0.07667432391344056,0.21882772873943032,0.0889987095309736
30,aah1,rec2935,12,12,2,g6,5.164040835149225,2.4360168722230096e-4,0.22256104274663396,0.07851027638438962,0.3081901406764626,0.09838880701147966
30,aap1,rec1874,4,1,20,g1,-0.7100666820460942,0.4919421250549779,-0.039664744258264356,0.10794906134153846,-0.05369303790376554,0.1648237558632498
30,aap1,rec1874,4,1,20,g6,-2.1444219738430483,0.0523605435014039,-0.12527210466387073,0.12441976415565939,-0.19788901780888046,0.1948797287140289
30,aat1,rec4956,5,8,1,g1,-0.5031342128996059,0.6247843974405598,-0.028965588558960753,0.1057099051679778,-0.034901848998723194,0.15643427352403064
30,aat1,rec4956,5,8,1,g6,-0.5642020558591317,0.5842247660473185,-0.032149706620626314,0.08172684732609453,-0.03937777429278433,0.11133283952752938
30,aat2,rec1582,1,8,3,g1,-1.6124069764167286,0.13360096513628927,-0.030345051398436386,0.023006379958099735,-0.37445147725744626,0.3251686698748513
30,aat2,rec1582,1,8,3,g6,-1.322164331432089,0.21464956416921302,-0.02908861870796956,0.034302820347675345,-0.40906677637500577,0.4748853317352496
30,abf2,rec6205,8,11,1,g1,-1.8806058724990633,0.08738595604225732,-0.06445826190010533,0.10335586574575567,-0.1439372477971307,0.24939573999496376
30,abf2,rec6205,8,11,1,g6,-3.22948171404183,0.006731908890918825,-0.12027775887446991,0.09701796395972741,-0.29454042380070783,0.2541930658265791
30,abm1,rec2586,10,12,10,g1,1.2360975869405455,0.2450579515002194,0.04144661488783604,0.11250473671425812,0.04953662467163888,0.14246036397754397
30,abm1,rec2586,10,12,10,g6,-3.492202785418001,0.006127074102612231,-0.12133659420991885,0.08129191956316129,-0.16871189168341325,0.11110141583544524
30,abp1,rec7199,13,3,16,g1,-2.091454183464292,0.057875124949845244,-0.0883000988329412,0.12421337965704114,-0.10678696758129702,0.14943584559190978
30,abp1,rec7199,13,3,16,g6,-1.7508747969832381,0.10621841881635166,-0.07193483467229342,0.14640242507863285,-0.08552096388792114,0.17474009139967253
30,abp140,rec2495,5,13,1,g1,0.4757358941759633,0.6423109358348909,0.02784310663075688,0.0756905675575737,0.04620003732988904,0.12154585025672995
30,abp140,rec2495,5,13,1,g6,0.21148715466930182,0.8356667720914862,0.012988143526223253,0.07491706428791552,0.023414081357368714,0.1164142378902553
30,abp140,rec2496,5,13,3,g1,-0.9825158385938215,0.3539968589534128,-0.02631929569410034,0.07956945377842228,-0.039892418944315264,0.12982653134836827
30,abp140,rec2496,5,13,3,g6,-1.2546286544271894,0.2363095222026678,-0.03659398657784864,0.09388076064127442,-0.05832758009438553,0.1551908804043477
